         360
   gj         fig        sg         vg         ssv        ssv1       ttv        ttp        vg1        xp         yp         sg1        cp         t          f          d1         d2         xd1        yd1
   1.867502   0.662961   1.354853   1.800000   0.211392   0.159997   0.826566  -0.071915   1.709825  -0.634661   0.229234   1.413080  -1.923502   0.192712  -0.005526   0.002147   0.001590  -0.634506   0.231376
   1.884956   0.651263   1.348354   1.800000   0.219670   0.168357   0.825969  -0.062591   1.709966  -0.641487   0.229694   1.406239  -1.923985   0.192964  -0.005555   0.002115   0.001566  -0.641354   0.231805
   1.902409   0.639588   1.341869   1.800000   0.228094   0.176865   0.825116  -0.053012   1.710111  -0.648302   0.230088   1.399412  -1.924478   0.193151  -0.005579   0.002082   0.001542  -0.648192   0.232168
   1.919862   0.627940   1.335397   1.800000   0.236666   0.185524   0.824731  -0.043900   1.710258  -0.655105   0.230418   1.392601  -1.924982   0.193273  -0.005599   0.002050   0.001518  -0.655015   0.232466
   1.937315   0.616322   1.328943   1.800000   0.245389   0.194335   0.824086  -0.034529   1.710408  -0.661893   0.230684   1.385808  -1.925496   0.193330  -0.005614   0.002018   0.001494  -0.661823   0.232701
   1.954769   0.604736   1.322506   1.800000   0.254266   0.203301   0.823867  -0.025583   1.710561  -0.668663   0.230888   1.379034  -1.926020   0.193324  -0.005625   0.001985   0.001470  -0.668613   0.232872
   1.972222   0.593186   1.316089   1.800000   0.263299   0.212426   0.823383  -0.016373   1.710718  -0.675414   0.231030   1.372282  -1.926555   0.193255  -0.005632   0.001952   0.001446  -0.675382   0.232982
   1.989675   0.581674   1.309694   1.800000   0.272492   0.221711   0.823287  -0.007550   1.710877  -0.682142   0.231110   1.365553  -1.927100   0.193123  -0.005635   0.001920   0.001422  -0.682128   0.233030
   2.007129   0.570203   1.303321   1.800000   0.281846   0.231160   0.822923   0.001541   1.711039  -0.688847   0.231130   1.358849  -1.927654   0.192930  -0.005634   0.001887   0.001398  -0.688849   0.233018
   2.024582   0.558777   1.296973   1.800000   0.291366   0.240776   0.822914   0.010276   1.711204  -0.695524   0.231091   1.352171  -1.928218   0.192675  -0.005629   0.001855   0.001373  -0.695543   0.232945
